X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY_USE,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE,SUTQ_RATING,SNAP,WIC
1800243.59338805,718474.20202373,20415706,923845,3563 INTERCHANGE RD,Amazon Fulfillment Center,Industrial - Warehouse,,Y,Y,,{346A92A2-088B-4A85-BA18-0F1F036E43BE},,,,,,,
1806311.1196388,708436.581679061,20415707,935850,2988 SULLIVANT AVE,Centro Latino Tax,Office - Corporate,,Y,Y,,{EBC9810E-6C7B-40F1-85B8-CE1A48234718},,,,,,,
1800277.96471038,718668.664889395,20415708,972924,3585 INTERCHANGE RD,CMD MedTech,Office - Corporate,,Y,Y,,{9ED1366E-0F32-41B8-B72A-6033D772693B},,,,,,,
1859699.71528922,724955.489257976,20415709,1273790,4314 E 5TH AVE,DSW Warehouse Offices,Office - Corporate,,Y,Y,614-389-2670,{AD1D73AA-EB0C-444D-BF91-2451EEBE2171},,,,,,,
1802246.65827955,708268.209968567,20415710,649960,3530 SULLIVANT AVE,Geny's Tax Multiservices,Retail - Services,,Y,Y,,{0C4FD878-736B-4951-ACD2-EDA2D4D88340},,,,,,,
1829057.34481555,708309.375240564,20415711,505728,901 S HIGH ST,Law Offices of R. Lee Roberts Jr,Office - Corporate,,Y,Y,,{B7F1968F-47E1-450F-9848-408D58DC3437},,,,,,,
1829151.34397139,707620.374650061,20415712,687290,995 S HIGH ST,Kevin Obrien & Associates,Office - Corporate,,Y,Y,,{4370D8B5-DFBC-406A-8D16-85653C9DC4FB},,,,,,,
1852364.71355505,744588.08516331,20415713,1270870,3344 MORSE CROSSING,Lane Bryant ,Retail - Commercial/Retail,,Y,Y,,{DEFF40B8-947A-4951-8B20-FCD9A45F5459},,,,,,,
1829166.34656605,709553.375377223,20415714,502352,21 E FRANKFORT ST,Nemeth & Associates,Office - Corporate,,Y,Y,6148950111,{7CE35BBE-30F4-4AF0-9BD4-FA1D4FEEEA0C},,,,,,,
1829939.76759139,713507.224424899,20415715,849461,199 E RICH ST,New Directions Career Center,Office - Non-Profit,,Y,Y,,{A18C95FD-C61F-4049-806F-8B4359D05F59},,,,,,,
1842005.13650522,698983.724928647,20415716,153763,1893 REFUGEE RD,P B Express,Transportation - Other,,Y,Y,,{FB33A5E5-8687-44F9-91DF-C3A7817C16F5},,,,,,,
1829003.34492356,708198.375462562,20415717,102588,915 S HIGH ST,Philip H Sheridan Jr Attorney,Office - Corporate,,Y,Y,,{E73D4039-567D-4C56-B418-DF9319BBAC93},,,,,,,
1842910.31120406,698983.360428065,20415718,401773,2073 REFUGEE RD,Red Truck Fire & Safety,Office - Corporate,,Y,Y,,{03146B4A-DB54-4DB8-B10F-427C4001DD52},,,,,,,
1805330.05959305,770084.667372137,20415719,973552,2524 BILLINGSLEY RD,Regals Cinema Columbus,Public Places - Theater/Concert Hall,,Y,Y,,{5FB3901C-910E-4D78-A0A0-06BAD9002B31},,,,,,,
1800702.68728614,717289.573159397,20415720,1010615,703 HADLEY DR,Scorpion Case Manufacturing,Industrial - Manufacturing,,Y,Y,,{F724D447-C550-4987-BF3B-7A4EEF03B3EA},,,,,,,
1791882.34239405,700021.375084311,20415721,620299,1535 GEORGESVILLE RD,Service Pro,Office - Corporate,,Y,Y,,{664269AA-4A1C-4A91-941F-37FD3C84042F},,,,,,,
1800705.78504898,717304.970438316,20415722,524749,705 HADLEY DR,Stauff's Coffee Roasters Corporate,Office - Corporate,,Y,Y,,{2E0282C0-7B62-42C9-9DE7-257EE566DD0F},,,,,,,
1820958.73699705,725638.474768639,20415723,998371,750 KING AVE,The Technology Connection,Office - Corporate,,Y,Y,614-914-8601,{60269867-2850-445B-9099-B775440385B9},,,,,,,
1809946.04970489,749148.290609807,20415724,798180,4874 REED RD,Massage,Retail - Services,,Y,Y,,{117667A5-CBCE-429F-AF48-431BB6F5AB06},,,,,,,
1805576.47871964,767137.180156887,20415725,973036,3500 SNOUFFER RD,Bird + Bull Engineers & Surveyors,Office - Corporate,,Y,Y,,{57694C62-4294-4531-B116-3B1CD72D5FB3},,,,,,,
1811183.16632514,748088.624750137,20415726,1098822,4662 LARWELL DR,TMC Medical Massage & Movement,Medical - Other,,Y,Y,614-784-9002,{68861312-F51E-4D9B-8C38-C0CB58002DB4},,,,,,,
1811173.23163372,748181.430994973,20415727,1073489,4672 LARWELL DR,Asset Planning Management& Research ,Office - Corporate,,Y,Y,,{5708A88D-48C3-4624-B708-DD60B151E7BE},,,,,,,
1811253.07464989,748221.322975561,20415728,874059,4678 LARWELL DR,Capital Prosthetics & Orthotic Center,Medical - Other,,Y,Y,,{37385FA4-3527-4666-B854-DD8564130105},,,,,,,
1811188.4071283,748206.766574234,20415729,848017,4676 LARWELL DR,R & J Bardon Printing & Graphics,Retail - Services,,Y,Y,,{262C8715-CF94-4B08-A757-9484095F194A},,,,,,,
1805240.62866956,767143.222467646,20415730,687603,3520 SNOUFFER RD Unit A,Equitable Corporate Park,Retail - Mixed Use,,Y,Y,614-841-3942,{958B0C02-9472-4759-B31B-FE7FBBBBA964},,,,,,,
1809716.13251381,715039.64918156,20415731,268367,303 N EUREKA AVE,Holton Community Center,Public Places - Community/Recreation Center,COC,Y,Y,,{6F613E94-CA0B-4316-9411-0380E448D0AD},https://www.columbus.gov/recreationandparks/recreation-centers/All-Community-Centers/,,,,,,
1810132.91612905,712632.485032648,20415732,32977,2417 W BROAD ST,L&T Bargain Center,Retail - Commercial/Retail,,Y,Y,,{D0F6A5F2-8107-4B70-A34C-48C4705CF2EB},,,,,,,
1862013.75724906,696842.528095558,20415733,949091,3142 S HAMILTON RD,Exquisite Barber & African Hair Braiding,Retail - Services,,Y,Y,,{1825F2FB-AB66-4142-B5B0-55D86EE8A909},,,,,,,
1862010.38520855,696756.357336149,20415734,911467,3146 S HAMILTON RD,Just About Furniture,Retail - Commercial/Retail,,Y,Y,,{7633465E-58C2-4AC7-840B-C45D71D78A5D},,,,,,,
1861044.87664089,699012.54212822,20415735,1278459,4264 EASTLAND FOOD  CT,Fablanes,Retail - Commercial/Retail,,Y,Y,,{384E368F-0DBA-4048-9755-7C868A32357C},,,,,,,
1856927.71755239,702712.418258637,20415736,1100151,2146 COURTRIGHT RD,Yaye & Assy African Hair Braiding,Retail - Services,,Y,Y,,{63C1ED52-8D11-4B8E-AF6D-F180661C1988},,,,,,,
1856921.77891597,702730.426752806,20415737,862119,2142 COURTRIGHT RD,Monty 1 Barber Shop,Retail - Services,,Y,Y,,{71EE1F90-1DF9-4CF3-8CF1-B7A784A33246},,,,,,,
1879068.45870389,724134.152974144,20415738,797425,262 BUSINESS CENTER DR,Industrial Products,Retail - Commercial/Retail,,Y,Y,,{D6452DA1-E455-4817-BF0A-BBB95A83C41A},,,,,,,
1879200.64085422,724106.735378057,20415739,923287,274 BUSINESS CENTER DR,Vesco Oil,Retail - Commercial/Retail,,Y,Y,,{86A97D6E-5984-4F6F-8C39-596A2E2EC8FC},,,,,,,
1867024.08417064,756919.935499564,20415740,,5869 N HAMILTON RD,New Albany Retail Center,Retail - Shopping Center-Neighborhood,,Y,N,,{ABD34AFB-95F8-47A3-B779-3EDE962C91B3},,,,,,,
1879122.49829397,724113.000457391,20415741,1088302,270 BUSINESS CENTER DR,Profarma Distributors ,Retail - Commercial/Retail,,Y,Y,,{9589FA56-EAED-433F-A99B-084D9C9B7FA6},,,,,,,
1878986.85191172,724526.240444556,20415742,849665,6755 COMMERCE COURT DR,Raghu Exim Trades,Retail - Commercial/Retail,,Y,Y,6149271765,{F9468073-BD7C-4257-8BCB-800056D0E1A2},,,,,,,
1835008.18002672,735507.522615805,20415743,155334,1254 BRIARWOOD AVE,Linden Community Center,Public Places - Community/Recreation Center,COC,Y,Y,,{D051CD89-5338-4181-9B39-85B36EE82573},,,,,,,
1861680.29006822,702609.345958233,20415744,442109,2261 S HAMILTON RD,Zenith Academy East,Education - Other,,Y,Y,,{429FF7C2-E92E-404A-901F-6E15EC9E508E},https://oeds.ode.state.oh.us/OrgOverview/index/24441,,,,,,
1854352.59835881,699750.635796398,20415745,1276149,3500 REFUGEE RD,Millennium Community School,Education - Other,,Y,Y,,{5BBBB9C3-FD31-4F4C-9D83-3FA60D5E24BE},https://oeds.ode.state.oh.us/OrgOverview/index/10021,,,,,,
1815787.38185422,741245.001954481,20415746,42300,1070 THOMAS LN,St Timothy School,Education - Elementary,,Y,Y,,{DB6372E4-EF50-4B5B-8B09-D06FB706EE82},,,,,,,
1833651.34907897,715775.373103812,20415747,449222,731 E BROAD ST,Columbus Learning Cooperative,Education - Other,,Y,Y,,{E37A5713-1FCA-4146-9632-58B00F542644},,,,,,,
1854176.89923514,696739.268459558,20415748,254479,3030 WINCHESTER PIKE,Columbus Fire Station 4,Emergency Response - Fire/EMS,COC,Y,Y,,{026FB299-3617-41E0-99A7-B86B897A94EF},https://www.columbus.gov/Templates/Detail.aspx?id=65223&page=all,,,,,,
1817595.6049438,754580.739390567,20415749,208182,5400 OLENTANGY RIVER RD,Columbus Police Substation 3 & 17,Emergency Response - Police,COC,Y,Y,6148555533,{69E01155-B130-449A-8266-99BB289DFDA0},https://www.columbus.gov/police-substations/,,,,,,
1837431.63285697,749633.764704481,20415750,1254690,1891 FOUNTAIN SQUARE CT,Division of Mineral Resources Management,Government - State,,Y,Y,,{4198B502-39A3-4617-BD76-6A2FFC86CF20},,,,,,,
1789620.38628805,726039.377510145,20415751,628994,2001 WALCUTT RD,Tri Model Services Inc,Transportation - Other,,Y,Y,,{128649D7-E13C-45D8-BA3D-2FABB3898F77},,,,,,,
1790666.34613839,702027.375337392,20415752,581018,5300 CROSSWIND DR,Columbus Dispatch Printing,Retail - Services,,Y,Y,,{F473360D-B443-4358-AB8C-8E392C72B49F},,,,,,,
1819384.37236364,724034.381192058,20415753,568420,1341 NORTON AVE,Fournier Rubber & Supply Co,Industrial - Manufacturing,,Y,Y,,{DF28D4B4-90A2-4238-9F63-0054FC5EA622},,,,,,,
1842502.31169197,698694.361006066,20415754,10491,1939 REFUGEE RD,TKS Industrial,Industrial - Manufacturing,,Y,Y,,{5CDA9D5F-9E63-4D7D-ACE0-8011879EC906},,,,,,,
1857707.07458948,751697.272060394,20415755,1268774,4250 MORSE RD UNIT SIGN,Hap Cremean Water Treatment Plant,Industrial - Water Treatment Plant,,Y,Y,,{3AEA9655-8865-41D6-9A32-8021CAD93FDC},,,,,,,
1817968.35583872,727358.322706893,20415756,1311045,1080 STEELWOOD RD,Rogue Fitness Equipment Headquarters,Industrial - Warehouse,,Y,Y,,{55076611-1656-4413-94E9-A77874709BCE},,,,,,,
1800711.99665073,717332.944791809,20415757,924468,707 HADLEY DR,AMSOIL Inc Distribution Center,Industrial - Warehouse,,Y,Y,614-921-2999,{A16163B8-0FAE-4237-9AAD-F68B6F370385},,,,,,,
1796471.06353155,731604.344070479,20415758,786651,3820 ZANE TRACE DR,ASD,Retail - Services,,Y,Y,6142989464,{83647032-2C82-4795-B32E-EC33D311C255},,,,,,,
1864315.62600489,730436.976982638,20415759,582918,4672 FRIENDSHIP DR,Atlas Construction Company,Office - Corporate,,Y,Y,,{A9E31FB8-4193-4F5F-9901-973E61DCDD0E},,,,,,,
1793551.72455397,728219.914815724,20415760,898973,2245 WESTBELT DR,Bay Insulation Supply,Retail - Services,,Y,Y,,{CC6E211A-7ED4-413F-831F-9557FA68B783},,,,,,,
1795398.24021789,735091.597594649,20415761,1296285,3119 SCIOTO-DARBY EXECUTIVE CT,Dura Belt,Industrial - Manufacturing,,Y,Y,614-751-1398,{76E2EADE-BC89-42D7-90BE-8A1A56EE077E},,,,,,,
1795489.46346064,734951.984028727,20415762,428603,3085 SCIOTO-DARBY EXECUTIVE CT,E C Supply Wholesale Grocer,Retail - Commercial/Retail,,Y,Y,614-826-4712,{EBEAB824-D9D3-4DAF-A9C2-B5E073577DA9},,,,,,,
1839716.32743455,731219.395037234,20415763,620728,1825 25TH AVE,Fulfillment Center ,Industrial - Warehouse,,Y,Y,614-898-7297,{CE2CFDB1-8C3B-4F4F-9C01-D27AE4C1B890},,,,,,,
1793575.39839114,728165.8565249,20415764,1061983,2231 WESTBELT DR,Half Price Books Warehouse,Industrial - Warehouse,,Y,Y,,{AF7995CA-B5F3-4CD7-969B-1E23A393F7E7},,,,,,,
1793587.06962764,728114.875655726,20415765,1100594,2177 WESTBELT DR,Honeywell,Industrial - Warehouse,,Y,Y,,{6E737725-D3CB-4824-929A-E9132A11DDA4},,,,,,,
1795880.12737747,735077.383384228,20415766,836601,3104 SCIOTO-DARBY EXECUTIVE CT,Peak Supply Co,Industrial - Warehouse,,Y,Y,,{2708C73C-7A1D-4A50-91D4-6E9629DFB38A},,,,,,,
1846575.3442283,725484.360247478,20415767,540616,1001 PARKVIEW BLVD,Kensington Place,Group Quarters - Assisted Living,,Y,Y,,{CA3BDFE6-F871-49AE-A17D-2F68669041B1},,,,,,,
1835903.41708139,757771.347182557,20415768,282854,5500 KARL RD,Oakleaf Village of Columbus,Group Quarters - Assisted Living,,Y,Y,,{8B4D369C-998B-4D4C-B01D-E8053CC79469},,,,,,,
1840205.94259706,717442.289389387,20415769,297659,71 WOODLAND AVE,Patterson Assisted Living Facility,Group Quarters - Assisted Living,,Y,Y,,{074E0ED3-F328-4F20-BC96-E4823910D7C0},,,,,,,
1812005.70470631,701070.980268553,20415770,1276920,1670 HARRISBURG PIKE APT 2H,Community Housing Network,Office - Non-Profit,CBLD1706419,Y,Y,,{594ABBDB-D62C-46ED-9523-D86EDB39E503},,,,,,,
1819708.19159789,725568.785275474,20415771,1050075,921 KING AVE,Abell Audio,Retail - Services,,Y,Y,,{8E4FAB9F-9075-4A94-8E36-504DE00D15B0},,,,,,,
1837669.30003256,686089.361609817,20415772,704063,1310 SOUTH COLUMBUS AIRPORT RD,Absolute Custom Metal Fabrications,Office - Corporate,,Y,Y,,{2C095B25-7940-4C07-A221-67C6E8566DDE},,,,,,,
1841369.30477163,713355.269348234,20415773,688284,1710 E MAIN ST,Accurate Auto Paint Shop,Retail - Services,,Y,Y,,{977C7FFA-C96D-48DD-B5C5-E19C05483C55},,,,,,,
1852136.78389281,747649.887110561,20415774,1238173,4015 THE STRAND W,American Eagle,Retail - Commercial/Retail,,Y,Y,6147999579,{C395F2E8-0387-4543-99AD-D81B3CBE0474},,,,,,,
1824575.47057723,777749.328551978,20415775,1239711,34 DILLMONT DR,Avant-Garde Impressions,Retail - Commercial/Retail,CHAN1607296,Y,Y,,{4DCBFC30-EC37-4D67-A5D0-F888172222EE},,,,,,,
1804503.48677114,764778.103510231,20415776,1075287,3666   W DUBLIN-GRANVILLE RD,Bath & Body Works,Retail - Commercial/Retail,,Y,Y,,{D0469080-B034-4483-96D5-3260BAF88655},,,,,,,
1858023.29016438,698689.349533141,20415777,606148,2734 OLD COURTRIGHT RD,Berhane Auto Repair,Retail - Services,,Y,Y,,{95E16EA5-4F13-4F0E-A570-0427579B8B1E},,,,,,,
1857563.29042822,698687.349865228,20415778,1012243,3770 REFUGEE RD,Beer Frame Carryout,Retail - Commercial/Retail,,Y,Y,,{9F61D981-546C-49BD-97F7-E6FEE3D63A0B},,,,,,,
1805381.00568539,770075.038126305,20415779,948476,2512 BILLINGSLEY RD,Brennan Music Studio ,Retail - Commercial/Retail,,Y,Y,,{6FB933D8-D723-403C-AAB8-290D5BD118AB},,,,,,,
1813641.44618547,761672.34003672,20415780,405704,2365 W DUBLIN-GRANVILLE RD,Carpet King Floor Coverings,Retail - Commercial/Retail,,Y,Y,,{5E02CDC9-B12B-4BDD-85C3-B2A193EC5860},,,,,,,
1827556.75726555,687320.894579813,20415781,1240911,3739 S HIGH ST,Advance America,Retail - Services,,Y,Y,6144617829,{D7B2313F-6A6F-4E58-BF27-1F857B7A16F5},,,,,,,
1804527.80988522,764751.741030142,20415782,1314147,3664   W DUBLIN-GRANVILLE RD,CDI Diamonds & Jewelry,Retail - Commercial/Retail,,Y,Y,,{22D6FDB4-6D04-4BED-A1C1-370907D299D8},,,,,,,
1837732.34682247,700093.732223064,20415783,701961,2159 LOCKBOURNE RD,Columbus Cold Storage,Retail - Services,,Y,Y,,{4EFB07FB-1A9C-49AE-B4B1-A727644BB5F3},,,,,,,
1829236.53933905,724037.957300395,20415784,1630829,309 E 5TH AVE,Columbus Medical Equipment,Retail - Commercial/Retail,,Y,Y,,{CA12C192-1E8E-4F84-B832-E55090C5C30D},,,,,,,
1806333.70981672,708440.931735978,20415785,797279,2986 SULLIVANT AVE,Cricket Wireless,Retail - Commercial/Retail,,Y,Y,,{DCB0E5B3-930D-4AEB-92A4-CFE02F7DB77A},,,,,,,
1825156.22400889,734479.605380312,20415786,449107,2609 N HIGH ST,Crosby's Drugs and Home Health,Medical - Other,,Y,Y,,{0A6CA1A7-DB51-49CF-8A5A-F5A6138FC1F3},,,,,,,
1820020.68703589,725684.294230804,20415787,860261,860 KING AVE,Dotter Fastener,Retail - Commercial/Retail,,Y,Y,,{5C6FE2C2-88E1-4387-B254-072EE45CB300},,,,,,,
1824450.47082722,777845.328031898,20415788,1239718,50 DILLMONT DR,Egelhoff Sports,Retail - Commercial/Retail,,Y,Y,,{84FB79FA-7949-449B-8BCA-AF3E32549099},,,,,,,
1804906.97841822,770089.099449888,20415789,768589,2584 BILLINGSLEY RD,Ellen Fox Massage Therapist,Retail - Services,,Y,Y,,{2C09EA2C-9D5A-447C-9BEE-B584A746FDD3},,,,,,,
